20
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
MIN ( 3 + 5 , IF ( 2 , 7 , 11 ) , ( 15 / 3 ) , 1 + 4 , ( 17 * 16 ) ) + ( MAX ( 10 , 1 , 2 ) * IF ( 14 , 9 , 17 ) ) .
